,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short
175,Oren,Bar-Gill,NA,New York University,http://nyu.edu,nyu.edu,Harvard University,http://harvard.edu,harvard.edu
176,Mitchell N.,Berman,NA,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,University of Pennsylvania,http://upenn.edu,upenn.edu
177,William,Buzbee,NA,Emory University,http://emory.edu,emory.edu,Georgetown University,http://georgetown.edu,georgetown.edu
178,Jenny,Carroll,NA,Seton Hall University,http://shu.edu,shu.edu,University of Alabama,http://ua.edu,ua.edu
179,Stephen,Clowney,NA,University of Kentucky,www.uky.edu/,uky.edu,"University of Arkansas, Fayetteville",https://www.uark.edu/,uark.edu
180,Andrew,Coan,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,University of Arizona,http://arizona.edu,arizona.edu
181,Jorge,Contreras,NA,American University,http://american.edu,american.edu,University of Utah,http://utah.edu,utah.edu
182,Steven,Davidoff,NA,Ohio State University,http://osu.edu,osu.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu
183,Dhammika,Dharmapala,NA,University of Illinois,http://illinois.edu,illinois.edu,University of Chicago,http://uchicago.edu,uchicago.edu
184,Michael,Doran,NA,Georgetown University,http://georgetown.edu,georgetown.edu,University of Virginia,http://virginia.edu,virginia.edu
185,Justin,Driver,NA,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,University of Chicago,http://uchicago.edu,uchicago.edu
186,Lee,Epstein,NA,University of Southern California,http://usc.edu,usc.edu,"Washington University, St. Louis",https://wustl.edu/,wustl.edu
187,Kimberly,Ferzan,NA,"Rutgers University, Camden",https://www.camden.rutgers.edu/,camden.rutgers.edu,University of Virginia,http://virginia.edu,virginia.edu
188,Michele B.,Goodwin,NA,"University of Minnesota, Twin Cities",https://twin-cities.umn.edu/,twin-cities.umn.edu,"University of California, Irvine",http://uci.edu,uci.edu
189,Kaaryn,Gustafson,NA,University of Connecticut,http://uconn.edu,uconn.edu,"University of California, Irvine",http://uci.edu,uci.edu
190,Emily,Hammond,NA,Wake Forest University,http://wfu.edu,wfu.edu,George Washington University,https://www.gwu.edu/,gwu.edu
191,Bernard,Harcourt,NA,University of Chicago,http://uchicago.edu,uchicago.edu,Columbia University,http://columbia.edu,columbia.edu
192,David,Hasen,NA,Santa Clara University,http://scu.edu,scu.edu,"University of Colorado, Boulder",http://colorado.edu,colorado.edu
193,Michael,Hatfield,NA,Texas Tech University,http://ttu.edu,ttu.edu,"University of Washington, Seattle",https://www.washington.edu/,washington.edu
194,Christine,Hurt,NA,University of Illinois,http://illinois.edu,illinois.edu,Brigham Young University,http://byu.edu,byu.edu
195,Darian,Ibrahim,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,College of William & Mary,https://wustl.edu/,wustl.edu
196,Charles,Jalloh,NA,University of Pittsburgh,http://pitt.edu,pitt.edu,Florida International University,http://fiu.edu,fiu.edu
197,Cathleen,Kaveny,NA,University of Notre Dame,http://nd.edu,nd.edu,Boston College,http://bc.edu,bc.edu
198,Andrew,Kull,NA,Boston University,http://bu.edu,bu.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu
199,Amy,Landers,NA,"University of the Pacific, McGeorge School of Law",https://www.mcgeorge.edu/,mcgeorge.edu,Drexel University,http://drexel.edu,drexel.edu
200,Jacqueline,Lipton,NA,University of Houston,www.uh.edu/,uh.edu,University of Akron,https://www.uakron.edu/,uakron.edu
201,Robert,MacCoun,NA,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,Stanford University,http://stanford.edu,stanford.edu
202,Patricia,McCoy,NA,University of Connecticut,http://uconn.edu,uconn.edu,Boston College,http://bc.edu,bc.edu
203,Edward R.,Morrison,NA,University of Chicago,http://uchicago.edu,uchicago.edu,Columbia University,http://columbia.edu,columbia.edu
204,Samuel,Moyn,NA,Columbia University ,https://www.columbia.edu/,columbia.edu,Harvard University,http://harvard.edu,harvard.edu
205,Xuan-Thao,Nguyen,NA,Southern Methodist University,http://smu.edu,smu.edu,"Indiana University, Indianapolis",https://www.iupui.edu/,iupui.edu
206,Saule,Omarova,NA,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu,Cornell University,http://cornell.edu,cornell.edu
